AvgResolveDays,Email,EscalatedCount,TicketCount
1.0,brandi.haney@company.com,0,1
2.75,brandon.brown@company.com,1,8
4.0,brandon.fleming@company.com,0,1
2.75,brandon.kelly@company.com,0,4
0.5,brandon.md@company.com,0,2
2.53,brandon.mitchell@company.com,0,15
0.33,brandon.montgomery@company.com,0,3
2.0,brandy.chavez@company.com,0,2
1.0,brandy.myers@company.com,1,3
2.0,breanna.ayala@company.com,1,5
5.38,breanna.rivas@company.com,1,8
1.17,brenda.gonzalez@company.com,1,6
0.88,brenda.hall@company.com,1,8
5.5,brenda.hinton@company.com,0,4
1.5,brenda.smith@company.com,0,2
1.0,brenda.thornton@company.com,0,2
3.67,brenda.wright@company.com,0,3
0.5,brent.hernandez@company.com,0,2
2.78,brent.jordan@company.com,1,9
0.6,brett.burns@company.com,1,5
2.8,brett.swanson@company.com,0,5
4.33,brian.brown@company.com,0,6
0.75,brian.chen@company.com,1,8
1.57,brian.fitzgerald@company.com,0,7
2.67,brian.gonzalez@company.com,1,6
3.0,brian.harris@company.com,0,10
3.83,brian.hunt@company.com,0,6
2.17,brian.lee@company.com,1,6
1.87,brian.martin@company.com,1,15
3.0,brian.md@company.com,0,1
2.12,brian.ramirez@company.com,3,8
0.75,brian.rodriguez@company.com,1,4
3.0,brian.smith@company.com,0,3
4.67,briana.murray@company.com,0,3
2.57,brittany.davis@company.com,2,7
1.0,brittany.farmer@company.com,0,5
0.33,brittany.jenkins@company.com,0,3
2.0,brittany.kim@company.com,1,7
1.0,brittany.ward@company.com,0,4
5.0,brittney.hernandez@company.com,0,2
2.0,brittney.martin@company.com,3,3
2.43,brittney.phillips@company.com,3,7
2.0,brittney.rodriguez@company.com,2,5
2.25,bryan.gomez@company.com,0,4
8.0,bryan.herrera@company.com,0,1
3.25,bryan.moore@company.com,0,4
0.67,caitlin.perry@company.com,0,6
4.0,cameron.fisher@company.com,1,1
6.0,cameron.parker@company.com,0,1
3.5,candace.mitchell@company.com,1,4
2.33,candace.soto@company.com,1,3
2.5,carla.gray@company.com,0,2
1.43,carlos.ryan@company.com,1,7
3.67,carly.riggs@company.com,1,3
3.5,carmen.preston@company.com,3,4
4.29,carol.sanders@company.com,3,7
2.67,carol.taylor@company.com,1,3
1.4,carol.tucker@company.com,0,5
2.12,carolyn.greer@company.com,2,8
3.33,carolyn.miller@company.com,0,3
0.67,carrie.valdez@company.com,0,3
4.0,carrie.wright@company.com,0,2
2.2,casey.chase@company.com,1,5
3.75,casey.hernandez@company.com,1,4
2.0,casey.obrien@company.com,0,4
3.5,casey.perez@company.com,1,2
2.0,casey.wilkins@company.com,1,9
1.43,cassandra.gaines@company.com,1,7
1.62,cassandra.harrell@company.com,1,8
0.43,cassie.brock@company.com,1,7
2.5,catherine.davis@company.com,0,4
13.0,catherine.frazier@company.com,0,1
2.43,cathy.robinson@company.com,2,7
1.67,cesar.wilson@company.com,1,3
2.0,chad.jones@company.com,3,5
1.73,chad.roach@company.com,2,11
3.0,chad.scott@company.com,2,3
3.25,charles.frost@company.com,0,4
2.0,charles.haley@company.com,2,6
5.33,charles.lester@company.com,0,3
3.5,charles.schultz@company.com,0,2
2.3,charles.shah@company.com,0,10
2.56,charles.turner@company.com,1,9
1.0,chelsea.gill@company.com,0,2
1.67,chelsea.lewis@company.com,1,6
2.0,chelsea.nguyen@company.com,0,1
3.0,chelsea.smith@company.com,0,2
2.6,cheyenne.horton@company.com,1,5
3.0,chris.velazquez@company.com,1,5
4.0,christian.dawson@company.com,0,4
2.56,christian.leblanc@company.com,0,9
1.67,christian.vaughn@company.com,2,6
2.57,christie.mccullough@company.com,0,7
3.25,christina.walters@company.com,1,8
3.0,christina.weber@company.com,0,1
2.56,christine.goodwin@company.com,1,9
2.5,christine.lopez@company.com,1,4
4.82,christine.parker@company.com,2,11
1.78,christine.powers@company.com,1,9
3.0,christine.wright@company.com,0,2
3.25,christopher.anderson@company.com,1,8
3.17,christopher.bass@company.com,2,6
0.0,christopher.guerra@company.com,0,1
0.67,christopher.hill@company.com,0,3
3.33,christopher.johnson@company.com,0,3
2.75,christopher.jones@company.com,1,4
4.67,christopher.marsh@company.com,0,6
2.14,christopher.moore@company.com,1,7
4.5,christopher.morris@company.com,1,4
0.88,christopher.mullen@company.com,1,8
1.67,christopher.parker@company.com,0,3
1.83,christopher.pena@company.com,2,6
3.75,christopher.perez@company.com,0,4
2.0,christopher.rubio@company.com,2,5
0.0,christopher.smith@company.com,0,2
2.67,cindy.gomez@company.com,0,3
4.33,clayton.steele@company.com,0,6
1.0,cody.bailey@company.com,0,8
2.0,cody.davidson@company.com,0,1
1.67,cody.reid@company.com,0,6
2.33,colin.fletcher@company.com,1,3
4.12,colleen.wright@company.com,1,8
1.5,colton.martinez@company.com,0,2
2.5,connie.brown@company.com,1,4
2.33,connie.lawrence@company.com,0,6
6.5,connie.turner@company.com,0,4
2.67,connor.west@company.com,0,6
0.0,corey.norris@company.com,0,1
5.0,corey.whitaker@company.com,0,3
0.5,courtney.chapman@company.com,0,2
4.2,courtney.gonzalez@company.com,1,5
3.0,courtney.hayes@company.com,0,2
1.5,courtney.mills@company.com,0,2
3.67,courtney.nichols@company.com,0,3
2.43,courtney.rodriguez@company.com,0,7
2.38,courtney.smith@company.com,1,8
1.33,craig.morrison@company.com,1,3
1.75,crystal.cruz@company.com,0,4
2.86,crystal.garcia@company.com,0,7
3.33,crystal.hernandez@company.com,0,3
1.0,crystal.johnson@company.com,0,3
3.0,crystal.mann@company.com,1,3
3.67,crystal.robinson@company.com,1,6
4.0,curtis.taylor@company.com,0,4
2.67,curtis.wilkerson@company.com,1,6
0.0,curtis.williams@company.com,0,1
2.0,cynthia.green@company.com,0,5
1.67,cynthia.haas@company.com,1,3
1.38,cynthia.moore@company.com,1,8
0.0,cynthia.morris@company.com,0,1
2.0,cynthia.mueller@company.com,0,1
2.75,cynthia.rowe@company.com,2,4
2.75,cynthia.vang@company.com,0,4
0.25,dale.chan@company.com,0,4
1.17,dale.heath@company.com,1,6
2.43,dale.ryan@company.com,0,7
1.25,dana.bennett@company.com,0,4
2.0,dana.chapman@company.com,1,6
0.5,dana.hopkins@company.com,0,2
0.25,dana.martinez@company.com,0,4
2.2,dana.ruiz@company.com,0,5
3.25,daniel.baker@company.com,3,8
3.2,daniel.brown@company.com,0,5
7.0,daniel.bush@company.com,0,1
3.0,daniel.davenport@company.com,0,3
2.5,daniel.fox@company.com,0,8
3.0,daniel.freeman@company.com,0,3
1.75,daniel.kane@company.com,3,4
2.0,daniel.kennedy@company.com,1,2
1.0,daniel.nguyen@company.com,0,2
4.0,daniel.salinas@company.com,0,3
2.6,daniel.wagner@company.com,2,10
5.33,daniel.white@company.com,2,6
1.22,danielle.bryant@company.com,0,9
2.5,danielle.davis@company.com,1,4
2.25,danielle.murray@company.com,0,4
1.0,danielle.smith@company.com,0,3
2.17,danielle.watson@company.com,0,6
1.67,danny.morgan@company.com,0,3
2.0,darlene.miller@company.com,0,2
1.11,darryl.acosta@company.com,0,9
3.71,david.alvarez@company.com,1,7
2.89,david.carter@company.com,0,9
2.88,david.davenport@company.com,1,8
1.62,david.davis@company.com,1,13
1.4,david.grant@company.com,1,5
3.5,david.harris@company.com,0,2
2.2,david.hinton@company.com,0,5
4.2,david.hughes@company.com,1,5
1.75,david.jr@company.com,1,4
3.9,david.kelly@company.com,1,10
0.67,david.lopez@company.com,2,6
3.8,david.martinez@company.com,0,5
2.4,david.molina@company.com,1,5
1.8,david.oliver@company.com,1,5
0.0,david.reed@company.com,0,1
0.0,david.reynolds@company.com,0,1
0.67,david.robinson@company.com,0,12
1.71,david.rodriguez@company.com,1,7
1.0,david.smith@company.com,0,1
2.5,david.stokes@company.com,1,4
1.75,david.thompson@company.com,0,4
3.0,david.torres@company.com,0,1
2.7,david.walker@company.com,2,10
4.0,david.wright@company.com,2,3
1.17,dawn.little@company.com,0,6
4.75,dawn.mullins@company.com,2,4
1.29,dawn.parker@company.com,1,7
5.4,dawn.rivera@company.com,0,10
0.75,dawn.wyatt@company.com,0,8
3.8,dean.donovan@company.com,0,5
4.88,debbie.dunn@company.com,3,8
2.0,deborah.campbell@company.com,3,6
1.5,deborah.figueroa@company.com,0,4
2.0,deborah.mercado@company.com,0,3
3.5,debra.butler@company.com,1,4
1.25,debra.christian@company.com,0,4
2.0,debra.davidson@company.com,1,3
1.4,debra.morton@company.com,2,5
2.86,debra.perry@company.com,0,7
2.9,debra.valentine@company.com,1,10
7.0,debra.white@company.com,1,2
5.0,denise.davenport@company.com,0,3
2.25,denise.jacobs@company.com,1,4
2.2,denise.jones@company.com,2,5
2.83,denise.martinez@company.com,0,6
4.33,denise.mccann@company.com,2,6
1.33,denise.wallace@company.com,0,3
0.4,dennis.henderson@company.com,0,5
2.5,dennis.huffman@company.com,1,4
1.0,dennis.marshall@company.com,0,3
2.0,dennis.mills@company.com,0,5
5.33,derek.wright@company.com,0,3
3.4,derek.zuniga@company.com,0,5
1.83,derrick.anderson@company.com,1,6
5.0,derrick.brown@company.com,0,4
4.8,derrick.clayton@company.com,0,5
0.33,derrick.espinoza@company.com,1,3
2.0,desiree.tyler@company.com,0,1
1.33,destiny.obrien@company.com,1,3
0.0,devon.flores@company.com,0,1
3.33,diana.hays@company.com,0,3
0.83,diana.may@company.com,1,6
1.8,diane.evans@company.com,1,5
2.0,diane.mcdowell@company.com,0,2
1.67,donald.medina@company.com,0,3
1.33,donald.miller@company.com,0,3
1.6,donald.wright@company.com,1,5
2.5,donna.beck@company.com,0,2
3.0,donna.boone@company.com,1,3
4.0,donna.frye@company.com,1,2
1.67,dorothy.boyd@company.com,0,3
3.0,douglas.gregory@company.com,0,2
2.5,douglas.ryan@company.com,0,2
1.75,douglas.vasquez@company.com,2,4
2.67,dr.dds@company.com,1,9
0.0,dr.dvm@company.com,1,3
2.33,dr.evans@company.com,0,6
3.5,dr.james@company.com,1,2
3.0,dr.marshall@company.com,0,1
3.0,dr.martinez@company.com,0,4
4.33,dr.morgan@company.com,0,3
0.0,dr.patterson@company.com,1,2
4.0,dr.trujillo@company.com,0,1
1.71,dr.warren@company.com,0,7
8.0,dustin.gallegos@company.com,0,1
1.0,dustin.jordan@company.com,1,2
1.0,dwayne.klein@company.com,0,3
7.33,dylan.miller@company.com,1,3
3.75,eddie.adams@company.com,1,4
2.0,edgar.hughes@company.com,0,4
0.0,edgar.miller@company.com,3,4
2.25,edward.arroyo@company.com,1,4
7.0,edward.burgess@company.com,0,1
3.33,edward.jenkins@company.com,0,3
1.5,edward.stanley@company.com,1,6
2.1,edwin.brown@company.com,0,10
2.17,edwin.nunez@company.com,1,6
2.0,elaine.brooks@company.com,0,2
4.75,elizabeth.dds@company.com,0,4
2.67,elizabeth.dean@company.com,1,3
0.71,elizabeth.flores@company.com,2,7
4.75,elizabeth.fowler@company.com,0,4
2.6,elizabeth.french@company.com,1,5
1.0,elizabeth.hart@company.com,0,6
2.0,elizabeth.holmes@company.com,1,4
4.0,elizabeth.kelley@company.com,1,6
1.25,elizabeth.mendez@company.com,2,4
4.0,elizabeth.miles@company.com,1,4
2.67,elizabeth.perkins@company.com,1,3
2.25,elizabeth.sanders@company.com,0,4
1.2,elizabeth.sharp@company.com,2,5
3.5,ellen.morgan@company.com,1,4
1.38,ellen.wright@company.com,3,8
3.12,emily.arnold@company.com,1,8
2.55,emily.bennett@company.com,1,11
5.0,emily.nelson@company.com,0,4
4.33,emily.reed@company.com,1,6
0.0,emily.rodgers@company.com,2,2
4.0,emily.wilson@company.com,1,2
2.56,emma.butler@company.com,3,9
2.18,emma.owens@company.com,1,11
4.0,emma.reed@company.com,1,5
1.0,eric.barker@company.com,1,5
4.2,eric.carney@company.com,0,5
2.12,eric.hunter@company.com,1,8
3.2,eric.jr@company.com,2,5
3.33,eric.patrick@company.com,0,3
0.75,eric.rush@company.com,0,4
2.0,eric.taylor@company.com,1,3
0.8,eric.thomas@company.com,2,5
1.25,eric.williams@company.com,0,4
7.67,erica.alvarez@company.com,0,3
0.5,erica.johnson@company.com,0,2
1.43,erica.moon@company.com,0,7
0.8,erica.wilson@company.com,1,5
2.4,erin.edwards@company.com,0,5
4.0,erin.smith@company.com,0,1
0.5,erin.warner@company.com,0,2
2.0,ernest.bush@company.com,0,4
1.5,ethan.adams@company.com,0,2
1.8,eugene.baldwin@company.com,0,5
2.25,eugene.patterson@company.com,1,4
2.33,evelyn.galvan@company.com,0,3
0.6,evelyn.martinez@company.com,0,5
1.57,evelyn.williams@company.com,0,7
3.0,felicia.aguilar@company.com,1,10
2.86,felicia.krueger@company.com,1,7
1.88,francis.robinson@company.com,0,8
1.33,frank.cordova@company.com,1,3
3.4,franklin.wright@company.com,1,5
1.86,fred.smith@company.com,0,7
3.6,garrett.lin@company.com,0,5
2.25,gary.jackson@company.com,0,4
1.0,gary.ward@company.com,0,2
6.0,gary.wells@company.com,0,2
0.0,george.harper@company.com,0,2
2.25,george.ochoa@company.com,2,4
1.67,gerald.hensley@company.com,0,6
3.0,gina.moore@company.com,0,2
3.0,glen.wood@company.com,1,2
1.75,glenn.dds@company.com,2,4
1.0,glenn.gallegos@company.com,1,6
2.25,grace.chavez@company.com,1,8
1.0,gregory.chambers@company.com,0,1
1.0,gregory.hill@company.com,0,1
3.22,gregory.king@company.com,2,9
1.5,gregory.peck@company.com,0,8
1.75,gregory.ponce@company.com,0,8
0.67,gwendolyn.klein@company.com,1,3
3.0,haley.johnson@company.com,2,4
0.0,hannah.everett@company.com,0,1
3.4,hannah.luna@company.com,1,5
2.0,hannah.martin@company.com,2,2
1.8,heather.bolton@company.com,0,5
2.33,heather.bowers@company.com,2,3
3.36,heather.brown@company.com,1,11
2.8,heather.fields@company.com,1,5
3.67,heather.nunez@company.com,0,3
1.11,heather.page@company.com,1,9
2.5,heather.parrish@company.com,0,4
3.0,heather.williams@company.com,1,1
6.0,heather.woodard@company.com,1,5
2.33,heidi.brown@company.com,0,3
2.25,heidi.matthews@company.com,1,4
2.33,helen.jones@company.com,0,3
3.33,holly.farmer@company.com,0,3
1.0,holly.scott@company.com,1,1
0.67,holly.valentine@company.com,1,3
0.25,holly.vega@company.com,1,4
6.83,holly.wood@company.com,1,6
2.8,howard.norman@company.com,1,10
2.0,ian.porter@company.com,0,1
1.5,isaiah.avila@company.com,0,2
0.67,jack.moore@company.com,0,3
1.92,jack.white@company.com,3,12
0.0,jackie.clements@company.com,1,3
10.5,jacob.hill@company.com,0,2
1.0,jacob.santos@company.com,0,3
0.5,jacob.williams@company.com,1,2
1.67,jacqueline.davis@company.com,0,3
2.0,jacqueline.dickerson@company.com,1,3
3.0,jacqueline.mccoy@company.com,3,7
2.0,jake.campbell@company.com,0,5
6.33,jake.shaw@company.com,0,3
1.9,james.bradley@company.com,1,10
1.0,james.brown@company.com,3,4
1.43,james.chapman@company.com,2,7
5.0,james.ferrell@company.com,1,5
2.5,james.gilbert@company.com,1,2
2.67,james.howard@company.com,0,3
1.0,james.jefferson@company.com,0,1
5.8,james.johnson@company.com,2,5
2.5,james.martin@company.com,1,4
0.33,james.nguyen@company.com,0,6
2.67,james.oconnor@company.com,0,3
5.0,james.padilla@company.com,0,3
3.71,james.parks@company.com,1,7
1.0,james.rivers@company.com,1,3
4.67,james.tran@company.com,0,3
0.8,james.washington@company.com,2,5
0.83,james.watson@company.com,1,6
1.0,james.webster@company.com,0,2
3.5,james.whitaker@company.com,0,4
2.0,jamie.arnold@company.com,0,2
3.0,jamie.baird@company.com,0,4
1.0,jamie.smith@company.com,1,3
2.5,jamie.solomon@company.com,2,8
3.8,jamie.walton@company.com,1,5
7.0,janet.dvm@company.com,0,3
2.0,janice.petty@company.com,1,2
2.0,jasmin.alvarado@company.com,0,2
4.4,jasmine.beltran@company.com,0,5
1.67,jasmine.frye@company.com,1,6
1.5,jason.beck@company.com,0,2
3.4,jason.graves@company.com,1,5
2.25,jason.hernandez@company.com,2,4
2.0,jason.herrera@company.com,0,1
3.0,jason.love@company.com,0,4
0.0,jason.nixon@company.com,0,1
3.5,jason.powell@company.com,0,2
1.33,jason.rhodes@company.com,1,6
2.0,jason.rodriguez@company.com,0,7
0.0,jason.stein@company.com,0,1
3.0,jason.williams@company.com,0,5
1.2,jeanette.harrison@company.com,0,5
3.12,jeffery.ortega@company.com,1,8
2.25,jeffrey.carter@company.com,1,4
2.83,jeffrey.chandler@company.com,0,6
4.6,jeffrey.chavez@company.com,0,5
2.67,jeffrey.howell@company.com,0,3
1.5,jeffrey.johnson@company.com,0,10
4.67,jeffrey.mendez@company.com,1,6
1.2,jeffrey.mills@company.com,0,5
1.33,jeffrey.roberson@company.com,0,3
0.4,jenna.bryant@company.com,1,5
1.5,jenna.gamble@company.com,0,6
1.75,jenna.larson@company.com,0,4
2.38,jenna.wilson@company.com,0,8
1.0,jennifer.adkins@company.com,0,2
1.6,jennifer.banks@company.com,0,5
0.0,jennifer.collins@company.com,0,2
1.5,jennifer.dvm@company.com,0,8
3.33,jennifer.goodwin@company.com,0,3
3.33,jennifer.hernandez@company.com,5,12
1.0,jennifer.james@company.com,1,1
0.5,jennifer.jones@company.com,0,2
4.0,jennifer.miranda@company.com,2,4
4.62,jennifer.morris@company.com,2,8
2.5,jennifer.nichols@company.com,1,2
6.33,jennifer.parks@company.com,1,6
1.5,jennifer.porter@company.com,2,4
2.25,jennifer.taylor@company.com,0,4
2.75,jennifer.vaughn@company.com,2,12
2.2,jennifer.white@company.com,1,5
1.11,jennifer.young@company.com,1,9
1.5,jeremy.dalton@company.com,2,6
3.67,jeremy.mitchell@company.com,0,6
1.75,jeremy.reed@company.com,1,4
1.86,jeremy.sampson@company.com,0,7
1.0,jeremy.scott@company.com,0,1
1.0,jeremy.turner@company.com,0,2
4.75,jerry.brown@company.com,0,4
7.67,jerry.haney@company.com,0,3
3.4,jerry.jensen@company.com,1,5
3.0,jerry.peters@company.com,0,5
3.3,jesse.brown@company.com,3,10
2.5,jesse.castro@company.com,0,4
1.25,jesse.clark@company.com,1,4
1.0,jesse.lynch@company.com,0,1
2.33,jesse.perez@company.com,0,6
2.0,jesse.perry@company.com,1,5
2.0,jesse.williams@company.com,0,3
0.83,jessica.bowen@company.com,0,6
5.86,jessica.callahan@company.com,0,7
3.5,jessica.garcia@company.com,3,14
3.23,jessica.gross@company.com,4,13
1.0,jessica.harris@company.com,1,1
1.67,jessica.khan@company.com,1,9
1.0,jessica.larsen@company.com,0,2
1.69,jessica.smith@company.com,1,13
5.75,jessica.stephens@company.com,0,4
3.17,jill.anderson@company.com,0,6
1.75,jill.conway@company.com,2,4
0.6,jillian.wilson@company.com,2,5
3.83,jim.newton@company.com,0,6
3.5,jimmy.marks@company.com,0,4
1.25,joann.ferguson@company.com,0,4
2.67,joann.glass@company.com,0,3
1.29,joanna.pacheco@company.com,3,7
3.89,jodi.roach@company.com,0,9
2.75,joel.jackson@company.com,1,8
4.67,joel.williams@company.com,1,6
4.33,joel.wise@company.com,0,3
2.8,john.allen@company.com,2,10
2.1,john.anderson@company.com,2,10
0.33,john.austin@company.com,2,3
2.56,john.bishop@company.com,2,9
3.0,john.coffey@company.com,0,3
0.0,john.daniel@company.com,0,1
2.33,john.dixon@company.com,0,6
5.0,john.garcia@company.com,0,3
1.2,john.hall@company.com,0,5
1.0,john.lee@company.com,0,2
3.0,john.mendez@company.com,1,4
1.33,john.oliver@company.com,2,6
4.0,john.pierce@company.com,0,1
3.33,john.whitehead@company.com,0,6
3.0,john.young@company.com,0,6
4.0,johnathan.brown@company.com,0,2
2.5,johnathan.davis@company.com,0,6
3.67,johnny.khan@company.com,1,6
4.25,jon.clark@company.com,2,4
0.0,jonathan.bates@company.com,1,1
3.5,jonathan.brooks@company.com,0,2
3.0,jonathan.clark@company.com,0,2
0.33,jonathan.jacobson@company.com,1,3
7.5,jonathan.lawrence@company.com,0,2
3.17,jonathan.md@company.com,1,6
2.0,jonathan.perry@company.com,0,2
2.38,jonathan.peterson@company.com,2,8
2.0,jordan.bates@company.com,1,2
1.38,jordan.chambers@company.com,1,8
1.67,jordan.henderson@company.com,4,6
0.33,jordan.williams@company.com,2,3
4.25,jorge.harris@company.com,2,4
1.0,jorge.stone@company.com,0,1
0.0,jose.allen@company.com,0,1
4.67,jose.bennett@company.com,1,3
4.0,jose.crawford@company.com,0,3
0.0,jose.griffin@company.com,0,2
2.0,jose.ramirez@company.com,0,4
1.5,jose.schultz@company.com,0,2
1.0,jose.travis@company.com,0,3
1.75,joseph.coleman@company.com,0,4
2.0,joseph.cooper@company.com,0,1
4.0,joseph.haynes@company.com,2,4
2.14,joseph.hill@company.com,0,7
3.0,joseph.howard@company.com,0,1
0.33,joseph.knight@company.com,0,3
2.6,joseph.lopez@company.com,0,5
2.0,joseph.ochoa@company.com,0,3
1.43,joseph.shaw@company.com,0,7
2.8,joseph.smith@company.com,2,5
3.6,joseph.williams@company.com,1,5
2.17,joseph.wilson@company.com,1,6
4.0,joshua.arellano@company.com,0,6
4.0,joshua.blair@company.com,0,5
2.6,joshua.cooke@company.com,1,5
2.0,joshua.garcia@company.com,2,4
1.5,joshua.perry@company.com,2,4
3.0,joshua.reed@company.com,0,2
1.33,joshua.rice@company.com,2,6
3.5,joshua.vance@company.com,1,2
1.0,joshua.washington@company.com,1,3
3.0,joyce.bowen@company.com,0,4
2.33,joyce.brown@company.com,2,6
2.25,joyce.solis@company.com,1,4
5.0,judith.carter@company.com,0,1
1.91,judy.baker@company.com,1,11
1.0,julia.md@company.com,1,5
4.0,julia.torres@company.com,0,1
8.0,julian.conner@company.com,0,1
1.0,julie.alexander@company.com,1,6
1.83,julie.delacruz@company.com,0,6
1.0,julie.dominguez@company.com,1,6
0.5,julie.herrera@company.com,1,2
1.5,justin.anderson@company.com,1,6
3.67,justin.baker@company.com,1,3
2.17,justin.foster@company.com,1,12
2.7,justin.frederick@company.com,1,10
1.67,justin.torres@company.com,0,3
7.0,justin.walker@company.com,0,1
1.8,kaitlin.medina@company.com,0,5
5.8,kara.hernandez@company.com,0,5
2.4,kara.sandoval@company.com,1,5
2.83,karen.dds@company.com,1,6
1.0,karen.fernandez@company.com,0,3
2.0,karen.gomez@company.com,1,4
2.8,karen.graham@company.com,0,5
1.0,karen.johnson@company.com,0,2
2.17,karen.wood@company.com,1,6
1.5,karl.branch@company.com,3,6
2.5,karla.ramos@company.com,1,4
2.25,katherine.gallagher@company.com,0,4
0.25,katherine.martinez@company.com,0,4
1.33,katherine.salas@company.com,0,3
4.0,katherine.stark@company.com,1,4
2.0,katherine.taylor@company.com,0,1
3.0,katherine.welch@company.com,1,5
3.5,kathleen.moran@company.com,1,6
2.57,kathleen.robertson@company.com,1,7
2.4,kathleen.webster@company.com,1,5
