Email,TicketCategory,DaysToResolve,Escalated
judy.baker@company.com,Manager Escalation,2,1
judy.baker@company.com,Policy Question,5,0
judy.baker@company.com,Policy Question,0,0
judy.baker@company.com,Comp Inquiry,1,0
judy.baker@company.com,Benefits,3,0
judy.baker@company.com,Manager Escalation,5,0
judy.baker@company.com,Benefits,0,0
judy.baker@company.com,Benefits,3,0
judy.baker@company.com,Manager Escalation,0,0
judy.baker@company.com,Manager Escalation,0,0
judy.baker@company.com,Payroll,2,0
justin.baker@company.com,Comp Inquiry,8,0
justin.baker@company.com,Payroll,3,0
justin.baker@company.com,Policy Question,0,1
stephanie.ross@company.com,Payroll,5,0
stephanie.ross@company.com,IT Access,8,1
stephanie.ross@company.com,Policy Question,2,0
stephanie.ross@company.com,Manager Escalation,1,0
stephanie.ross@company.com,Policy Question,0,1
zachary.hicks@company.com,Policy Question,6,0
zachary.hicks@company.com,Benefits,10,0
zachary.hicks@company.com,Benefits,2,0
zachary.hicks@company.com,Comp Inquiry,1,0
zachary.hicks@company.com,Payroll,5,0
anthony.rodriguez@company.com,Payroll,6,0
anthony.rodriguez@company.com,Comp Inquiry,12,0
anthony.rodriguez@company.com,PTO Request,3,0
rebecca.henderson@company.com,Policy Question,0,0
rebecca.henderson@company.com,Manager Escalation,1,0
james.ferrell@company.com,Payroll,1,0
james.ferrell@company.com,Payroll,0,1
james.ferrell@company.com,IT Access,11,0
james.ferrell@company.com,Comp Inquiry,6,0
james.ferrell@company.com,Policy Question,7,0
tricia.valencia@company.com,Payroll,3,0
tricia.valencia@company.com,Manager Escalation,3,0
nathan.maldonado@company.com,PTO Request,1,0
nathan.maldonado@company.com,Benefits,0,0
nathan.maldonado@company.com,Benefits,0,0
debra.davidson@company.com,Payroll,1,0
debra.davidson@company.com,IT Access,0,0
debra.davidson@company.com,Policy Question,5,1
jeffrey.chavez@company.com,Comp Inquiry,1,0
jeffrey.chavez@company.com,Benefits,13,0
jeffrey.chavez@company.com,Manager Escalation,4,0
jeffrey.chavez@company.com,Policy Question,5,0
jeffrey.chavez@company.com,Benefits,0,0
sherri.baker@company.com,IT Access,5,1
cassandra.gaines@company.com,Policy Question,0,0
cassandra.gaines@company.com,Payroll,3,0
cassandra.gaines@company.com,IT Access,0,0
cassandra.gaines@company.com,Benefits,2,0
cassandra.gaines@company.com,Policy Question,1,0
cassandra.gaines@company.com,IT Access,2,1
cassandra.gaines@company.com,Payroll,2,0
elizabeth.fowler@company.com,IT Access,11,0
elizabeth.fowler@company.com,Benefits,1,0
elizabeth.fowler@company.com,Comp Inquiry,3,0
elizabeth.fowler@company.com,Payroll,4,0
brittany.farmer@company.com,IT Access,0,0
brittany.farmer@company.com,PTO Request,2,0
brittany.farmer@company.com,Policy Question,2,0
brittany.farmer@company.com,Comp Inquiry,0,0
brittany.farmer@company.com,Comp Inquiry,1,0
paula.moreno@company.com,Manager Escalation,0,0
paula.moreno@company.com,Manager Escalation,0,0
paula.moreno@company.com,Manager Escalation,1,0
paula.moreno@company.com,Benefits,0,0
paula.moreno@company.com,Policy Question,0,0
paula.moreno@company.com,Payroll,3,0
paula.moreno@company.com,Policy Question,7,0
fred.smith@company.com,Comp Inquiry,2,0
fred.smith@company.com,Benefits,0,0
fred.smith@company.com,Comp Inquiry,3,0
fred.smith@company.com,Policy Question,2,0
fred.smith@company.com,Benefits,1,0
fred.smith@company.com,Payroll,4,0
fred.smith@company.com,Comp Inquiry,1,0
sherry.decker@company.com,Payroll,1,0
anthony.humphrey@company.com,Comp Inquiry,4,0
anthony.humphrey@company.com,Policy Question,1,0
anthony.humphrey@company.com,IT Access,3,0
anthony.humphrey@company.com,Policy Question,12,0
angelica.tucker@company.com,IT Access,5,0
angelica.tucker@company.com,PTO Request,0,1
angelica.tucker@company.com,Comp Inquiry,0,0
philip.cannon@company.com,PTO Request,0,0
philip.cannon@company.com,Policy Question,5,0
philip.cannon@company.com,Policy Question,2,0
philip.cannon@company.com,IT Access,0,1
philip.cannon@company.com,IT Access,1,0
john.pierce@company.com,Benefits,4,0
shane.henderson@company.com,Benefits,1,0
shane.henderson@company.com,Payroll,0,0
shane.henderson@company.com,Payroll,2,0
shane.henderson@company.com,Comp Inquiry,4,0
shane.henderson@company.com,Manager Escalation,5,1
shane.henderson@company.com,PTO Request,8,1
shane.henderson@company.com,Benefits,0,0
joshua.blair@company.com,PTO Request,5,0
joshua.blair@company.com,Policy Question,3,0
joshua.blair@company.com,IT Access,1,0
joshua.blair@company.com,Benefits,5,0
joshua.blair@company.com,PTO Request,6,0
eric.carney@company.com,Manager Escalation,7,0
eric.carney@company.com,Policy Question,1,0
eric.carney@company.com,Policy Question,1,0
eric.carney@company.com,Comp Inquiry,6,0
eric.carney@company.com,PTO Request,6,0
danny.morgan@company.com,PTO Request,3,0
danny.morgan@company.com,Benefits,1,0
danny.morgan@company.com,Comp Inquiry,1,0
crystal.robinson@company.com,Policy Question,3,0
crystal.robinson@company.com,Policy Question,2,0
crystal.robinson@company.com,PTO Request,7,0
crystal.robinson@company.com,Comp Inquiry,1,1
crystal.robinson@company.com,IT Access,7,0
crystal.robinson@company.com,Benefits,2,0
mark.perez@company.com,Comp Inquiry,0,0
mark.perez@company.com,Benefits,5,0
mark.perez@company.com,Payroll,1,0
mark.perez@company.com,Policy Question,2,0
mark.perez@company.com,Payroll,4,0
mark.perez@company.com,Payroll,0,0
mark.perez@company.com,Comp Inquiry,1,1
mark.perez@company.com,PTO Request,1,0
mark.perez@company.com,Benefits,7,0
mark.perez@company.com,Policy Question,1,0
mark.perez@company.com,Payroll,2,0
mark.perez@company.com,Payroll,1,0
shannon.jones@company.com,Manager Escalation,2,1
michael.lewis@company.com,Comp Inquiry,2,0
michael.lewis@company.com,Comp Inquiry,1,0
michael.lewis@company.com,PTO Request,0,0
michael.lewis@company.com,Manager Escalation,1,0
timothy.duncan@company.com,Benefits,2,0
timothy.duncan@company.com,Benefits,2,0
richard.aguirre@company.com,Policy Question,1,0
richard.aguirre@company.com,PTO Request,2,0
brent.jordan@company.com,Manager Escalation,0,0
brent.jordan@company.com,Comp Inquiry,3,0
brent.jordan@company.com,PTO Request,2,0
brent.jordan@company.com,IT Access,8,0
brent.jordan@company.com,PTO Request,1,1
brent.jordan@company.com,Comp Inquiry,3,0
brent.jordan@company.com,Manager Escalation,0,0
brent.jordan@company.com,IT Access,3,0
brent.jordan@company.com,Payroll,5,0
john.daniel@company.com,Comp Inquiry,0,0
victoria.garcia@company.com,PTO Request,2,1
victoria.garcia@company.com,Payroll,1,0
victoria.garcia@company.com,Payroll,2,0
victoria.garcia@company.com,Comp Inquiry,0,0
victoria.garcia@company.com,PTO Request,12,0
victoria.garcia@company.com,Manager Escalation,3,0
victoria.garcia@company.com,PTO Request,7,0
gerald.hensley@company.com,Manager Escalation,0,0
gerald.hensley@company.com,Policy Question,2,0
gerald.hensley@company.com,Payroll,2,0
gerald.hensley@company.com,Payroll,1,0
gerald.hensley@company.com,Benefits,1,0
gerald.hensley@company.com,PTO Request,4,0
connor.west@company.com,Policy Question,8,0
connor.west@company.com,PTO Request,0,0
connor.west@company.com,Benefits,0,0
connor.west@company.com,Policy Question,5,0
connor.west@company.com,Policy Question,2,0
connor.west@company.com,Benefits,1,0
donald.wright@company.com,Benefits,4,0
donald.wright@company.com,PTO Request,0,0
donald.wright@company.com,Manager Escalation,0,1
donald.wright@company.com,Manager Escalation,4,0
donald.wright@company.com,Payroll,0,0
jessica.callahan@company.com,Comp Inquiry,3,0
jessica.callahan@company.com,Benefits,0,0
jessica.callahan@company.com,Comp Inquiry,22,0
jessica.callahan@company.com,PTO Request,7,0
jessica.callahan@company.com,Manager Escalation,3,0
jessica.callahan@company.com,Benefits,1,0
jessica.callahan@company.com,Comp Inquiry,5,0
amber.kidd@company.com,IT Access,1,1
amber.kidd@company.com,Policy Question,1,0
amber.kidd@company.com,IT Access,2,0
amber.kidd@company.com,IT Access,4,0
tracy.house@company.com,Benefits,13,0
tracy.house@company.com,Manager Escalation,2,1
tracy.house@company.com,Policy Question,0,0
tracy.house@company.com,Manager Escalation,4,0
carol.tucker@company.com,Comp Inquiry,2,0
carol.tucker@company.com,Payroll,0,0
carol.tucker@company.com,PTO Request,5,0
carol.tucker@company.com,Manager Escalation,0,0
carol.tucker@company.com,PTO Request,0,0
james.brown@company.com,IT Access,1,1
james.brown@company.com,PTO Request,2,1
james.brown@company.com,Benefits,0,1
james.brown@company.com,Policy Question,1,0
william.baker@company.com,Payroll,0,0
william.baker@company.com,Policy Question,5,0
william.baker@company.com,PTO Request,10,1
jordan.henderson@company.com,Policy Question,0,0
jordan.henderson@company.com,Comp Inquiry,0,1
jordan.henderson@company.com,Manager Escalation,0,1
jordan.henderson@company.com,Policy Question,0,0
jordan.henderson@company.com,Policy Question,9,1
jordan.henderson@company.com,Payroll,1,1
whitney.peters@company.com,Policy Question,3,0
whitney.peters@company.com,PTO Request,9,0
whitney.peters@company.com,IT Access,0,0
brittney.phillips@company.com,PTO Request,2,1
brittney.phillips@company.com,IT Access,5,1
brittney.phillips@company.com,Payroll,1,0
brittney.phillips@company.com,Manager Escalation,3,0
brittney.phillips@company.com,PTO Request,0,1
brittney.phillips@company.com,Manager Escalation,6,0
brittney.phillips@company.com,Comp Inquiry,0,0
lauren.daniels@company.com,Benefits,5,0
lauren.daniels@company.com,Comp Inquiry,0,0
amy.silva@company.com,Manager Escalation,4,0
amy.silva@company.com,PTO Request,0,0
amy.silva@company.com,Benefits,1,0
sarah.moore@company.com,Policy Question,0,0
sarah.moore@company.com,Payroll,2,0
sarah.moore@company.com,Benefits,0,0
sarah.moore@company.com,PTO Request,10,1
angela.lopez@company.com,Manager Escalation,1,0
megan.young@company.com,Benefits,0,1
megan.young@company.com,Payroll,0,0
megan.young@company.com,Comp Inquiry,4,0
megan.young@company.com,IT Access,5,0
steve.sanchez@company.com,Policy Question,9,0
lisa.barnes@company.com,IT Access,3,0
lisa.barnes@company.com,Policy Question,0,0
lisa.barnes@company.com,IT Access,2,0
lisa.barnes@company.com,Policy Question,10,0
lisa.barnes@company.com,Payroll,0,0
lisa.barnes@company.com,Policy Question,5,0
lisa.barnes@company.com,Policy Question,4,0
kelly.donovan@company.com,Comp Inquiry,0,0
kelly.donovan@company.com,IT Access,2,0
kelly.donovan@company.com,IT Access,0,0
kelly.donovan@company.com,Manager Escalation,2,0
mike.allen@company.com,Benefits,1,0
mike.allen@company.com,Policy Question,3,1
mike.allen@company.com,PTO Request,7,0
michael.evans@company.com,PTO Request,2,0
michael.evans@company.com,Benefits,4,1
michael.evans@company.com,Payroll,2,0
michael.evans@company.com,Manager Escalation,0,0
paul.jones@company.com,Benefits,4,0
paul.jones@company.com,Comp Inquiry,3,1
paul.jones@company.com,Manager Escalation,3,0
zachary.ferrell@company.com,Payroll,3,1
daniel.baker@company.com,Policy Question,0,0
daniel.baker@company.com,PTO Request,0,0
daniel.baker@company.com,Comp Inquiry,3,0
daniel.baker@company.com,Policy Question,0,1
daniel.baker@company.com,IT Access,4,1
daniel.baker@company.com,Manager Escalation,3,0
daniel.baker@company.com,Benefits,0,0
daniel.baker@company.com,Manager Escalation,16,1
shirley.suarez@company.com,Comp Inquiry,0,0
shirley.suarez@company.com,Payroll,6,0
shirley.suarez@company.com,Manager Escalation,5,0
christopher.bass@company.com,Benefits,2,1
christopher.bass@company.com,Benefits,4,0
christopher.bass@company.com,Policy Question,2,1
christopher.bass@company.com,IT Access,1,0
christopher.bass@company.com,Manager Escalation,3,0
christopher.bass@company.com,IT Access,7,0
lisa.archer@company.com,Comp Inquiry,1,0
lisa.archer@company.com,PTO Request,3,0
lisa.archer@company.com,IT Access,0,0
lisa.archer@company.com,Comp Inquiry,2,0
lisa.archer@company.com,IT Access,10,0
lisa.archer@company.com,Policy Question,6,0
lisa.archer@company.com,Benefits,1,0
matthew.mcmillan@company.com,IT Access,1,0
matthew.mcmillan@company.com,IT Access,1,1
matthew.mcmillan@company.com,PTO Request,0,0
matthew.mcmillan@company.com,Benefits,12,0
matthew.mcmillan@company.com,Manager Escalation,8,0
matthew.mcmillan@company.com,Comp Inquiry,0,0
matthew.mcmillan@company.com,Policy Question,1,0
brian.rodriguez@company.com,Benefits,1,1
brian.rodriguez@company.com,Comp Inquiry,1,0
brian.rodriguez@company.com,Benefits,1,0
brian.rodriguez@company.com,Comp Inquiry,0,0
denise.jacobs@company.com,Manager Escalation,1,1
denise.jacobs@company.com,PTO Request,0,0
denise.jacobs@company.com,Comp Inquiry,8,0
denise.jacobs@company.com,Benefits,0,0
christina.walters@company.com,Payroll,0,0
christina.walters@company.com,Benefits,2,0
christina.walters@company.com,Payroll,1,1
christina.walters@company.com,Payroll,0,0
christina.walters@company.com,Policy Question,6,0
christina.walters@company.com,PTO Request,7,0
christina.walters@company.com,Benefits,4,0
christina.walters@company.com,Policy Question,6,0
john.whitehead@company.com,Manager Escalation,1,0
john.whitehead@company.com,Payroll,1,0
john.whitehead@company.com,Policy Question,2,0
john.whitehead@company.com,Benefits,4,0
john.whitehead@company.com,Manager Escalation,5,0
john.whitehead@company.com,PTO Request,7,0
anna.henderson@company.com,Comp Inquiry,2,0
anna.henderson@company.com,Comp Inquiry,5,0
aaron.wise@company.com,Comp Inquiry,1,1
deborah.figueroa@company.com,Manager Escalation,1,0
deborah.figueroa@company.com,Manager Escalation,2,0
deborah.figueroa@company.com,PTO Request,1,0
deborah.figueroa@company.com,Policy Question,2,0
jessica.smith@company.com,Comp Inquiry,2,0
jessica.smith@company.com,Payroll,2,0
jessica.smith@company.com,IT Access,1,0
jessica.smith@company.com,PTO Request,2,0
jessica.smith@company.com,Benefits,0,0
jessica.smith@company.com,PTO Request,5,1
stephen.mckee@company.com,Benefits,0,0
sandra.aguilar@company.com,IT Access,0,0
sandra.aguilar@company.com,IT Access,3,0
sandra.aguilar@company.com,Policy Question,2,0
cameron.parker@company.com,Policy Question,6,0
rebecca.valencia@company.com,Policy Question,0,0
rebecca.valencia@company.com,Manager Escalation,0,0
rebecca.valencia@company.com,Policy Question,2,0
rebecca.valencia@company.com,Benefits,1,0
christine.wright@company.com,Policy Question,2,0
christine.wright@company.com,Comp Inquiry,4,0
richard.henson@company.com,Payroll,0,0
richard.henson@company.com,IT Access,1,0
marc.moore@company.com,Benefits,1,0
marc.moore@company.com,Comp Inquiry,1,0
marc.moore@company.com,Policy Question,3,0
marc.moore@company.com,PTO Request,2,1
marc.moore@company.com,Manager Escalation,3,0
marc.moore@company.com,Comp Inquiry,2,0
sharon.cherry@company.com,PTO Request,0,0
sharon.cherry@company.com,PTO Request,14,1
sharon.cherry@company.com,IT Access,0,0
sharon.cherry@company.com,IT Access,2,0
sierra.johnson@company.com,Payroll,0,0
sierra.johnson@company.com,Payroll,0,1
sierra.johnson@company.com,Payroll,2,0
sierra.johnson@company.com,PTO Request,1,0
sierra.johnson@company.com,Comp Inquiry,0,0
evelyn.galvan@company.com,Payroll,0,0
evelyn.galvan@company.com,Policy Question,3,0
evelyn.galvan@company.com,PTO Request,4,0
sharon.cochran@company.com,Manager Escalation,0,0
richard.rodriguez@company.com,Comp Inquiry,2,0
richard.rodriguez@company.com,PTO Request,5,0
richard.rodriguez@company.com,Policy Question,1,0
richard.rodriguez@company.com,Manager Escalation,0,0
richard.rodriguez@company.com,IT Access,0,1
richard.rodriguez@company.com,IT Access,4,0
shannon.walker@company.com,Comp Inquiry,3,0
shannon.walker@company.com,PTO Request,2,0
shannon.walker@company.com,Comp Inquiry,0,0
julia.torres@company.com,Policy Question,4,0
crystal.johnson@company.com,IT Access,1,0
crystal.johnson@company.com,IT Access,2,0
crystal.johnson@company.com,Payroll,0,0
garrett.lin@company.com,Manager Escalation,1,0
garrett.lin@company.com,PTO Request,5,0
garrett.lin@company.com,PTO Request,9,0
garrett.lin@company.com,PTO Request,1,0
garrett.lin@company.com,Comp Inquiry,2,0
diana.may@company.com,IT Access,1,0
diana.may@company.com,Policy Question,1,0
diana.may@company.com,Comp Inquiry,0,0
diana.may@company.com,Benefits,1,0
diana.may@company.com,Policy Question,1,0
diana.may@company.com,PTO Request,1,1
william.herrera@company.com,Payroll,8,0
ashley.waller@company.com,IT Access,3,0
ashley.waller@company.com,Policy Question,1,0
ashley.waller@company.com,Payroll,0,0
ashley.waller@company.com,Policy Question,0,1
victor.baker@company.com,Comp Inquiry,3,0
victor.baker@company.com,Policy Question,0,1
jeffrey.chandler@company.com,Policy Question,1,0
jeffrey.chandler@company.com,PTO Request,4,0
jeffrey.chandler@company.com,PTO Request,0,0
jeffrey.chandler@company.com,Payroll,1,0
jeffrey.chandler@company.com,Payroll,11,0
jeffrey.chandler@company.com,Policy Question,0,0
larry.dixon@company.com,Benefits,2,0
larry.dixon@company.com,Comp Inquiry,2,0
larry.dixon@company.com,Benefits,0,0
larry.dixon@company.com,Benefits,0,0
larry.dixon@company.com,Policy Question,2,0
larry.dixon@company.com,Benefits,8,0
kenneth.scott@company.com,PTO Request,5,0
kenneth.scott@company.com,Payroll,2,0
kenneth.scott@company.com,PTO Request,1,0
kenneth.scott@company.com,PTO Request,4,0
april.frost@company.com,Benefits,0,0
april.frost@company.com,IT Access,5,0
april.frost@company.com,Policy Question,0,0
april.frost@company.com,PTO Request,2,0
michelle.harmon@company.com,Policy Question,0,0
helen.jones@company.com,Benefits,0,0
helen.jones@company.com,Manager Escalation,6,0
helen.jones@company.com,Policy Question,1,0
erin.edwards@company.com,Manager Escalation,2,0
erin.edwards@company.com,Benefits,4,0
erin.edwards@company.com,Payroll,0,0
erin.edwards@company.com,Manager Escalation,1,0
erin.edwards@company.com,Policy Question,5,0
michelle.evans@company.com,Benefits,1,0
michelle.evans@company.com,Comp Inquiry,0,0
michelle.evans@company.com,IT Access,0,0
michelle.evans@company.com,Payroll,2,0
michelle.evans@company.com,PTO Request,3,0
jason.powell@company.com,Benefits,2,0
jason.powell@company.com,IT Access,5,0
cameron.fisher@company.com,Manager Escalation,4,1
megan.orr@company.com,Manager Escalation,0,0
megan.orr@company.com,Comp Inquiry,0,0
elizabeth.kelley@company.com,IT Access,4,0
elizabeth.kelley@company.com,PTO Request,14,0
elizabeth.kelley@company.com,Comp Inquiry,2,0
elizabeth.kelley@company.com,Payroll,2,1
elizabeth.kelley@company.com,Policy Question,0,0
elizabeth.kelley@company.com,PTO Request,2,0
dustin.jordan@company.com,Policy Question,1,1
dustin.jordan@company.com,Manager Escalation,1,0
mary.marshall@company.com,Comp Inquiry,2,0
mary.marshall@company.com,Payroll,0,0
mary.marshall@company.com,PTO Request,2,0
mary.marshall@company.com,Comp Inquiry,7,0
daniel.kennedy@company.com,PTO Request,0,0
daniel.kennedy@company.com,IT Access,4,1
rebecca.jackson@company.com,Payroll,4,0
jose.schultz@company.com,Benefits,2,0
jose.schultz@company.com,Benefits,1,0
robert.potter@company.com,IT Access,0,1
robert.potter@company.com,Manager Escalation,0,0
courtney.gonzalez@company.com,Payroll,1,1
courtney.gonzalez@company.com,IT Access,1,0
courtney.gonzalez@company.com,Benefits,3,0
courtney.gonzalez@company.com,Payroll,5,0
courtney.gonzalez@company.com,Payroll,11,0
david.alvarez@company.com,Manager Escalation,8,0
david.alvarez@company.com,Benefits,0,1
david.alvarez@company.com,Policy Question,3,0
david.alvarez@company.com,Comp Inquiry,2,0
david.alvarez@company.com,Benefits,11,0
david.alvarez@company.com,Payroll,0,0
david.alvarez@company.com,IT Access,2,0
angel.perry@company.com,Comp Inquiry,6,1
angel.perry@company.com,Policy Question,8,0
cheyenne.horton@company.com,Benefits,2,0
cheyenne.horton@company.com,IT Access,1,0
cheyenne.horton@company.com,Policy Question,4,1
cheyenne.horton@company.com,IT Access,2,0
cheyenne.horton@company.com,IT Access,4,0
david.jr@company.com,IT Access,3,0
david.jr@company.com,Comp Inquiry,2,0
david.jr@company.com,Policy Question,0,1
david.jr@company.com,Payroll,2,0
patricia.rodriguez@company.com,PTO Request,0,1
patricia.rodriguez@company.com,IT Access,4,0
patricia.rodriguez@company.com,Payroll,1,1
patricia.rodriguez@company.com,Manager Escalation,3,0
christopher.rubio@company.com,IT Access,3,1
christopher.rubio@company.com,PTO Request,1,1
christopher.rubio@company.com,IT Access,5,0
christopher.rubio@company.com,Benefits,0,0
christopher.rubio@company.com,Payroll,1,0
amber.wright@company.com,Manager Escalation,0,0
amber.wright@company.com,Payroll,0,0
amber.wright@company.com,Payroll,4,0
amber.wright@company.com,Policy Question,3,0
amber.wright@company.com,PTO Request,4,0
joyce.solis@company.com,Policy Question,3,0
joyce.solis@company.com,Comp Inquiry,0,0
joyce.solis@company.com,Payroll,5,0
joyce.solis@company.com,Comp Inquiry,1,1
victoria.larson@company.com,Payroll,1,0
victoria.larson@company.com,PTO Request,7,0
stephanie.salazar@company.com,Comp Inquiry,0,1
kathy.rivas@company.com,IT Access,1,0
kathy.rivas@company.com,Policy Question,11,0
kathy.rivas@company.com,IT Access,0,0
kathy.rivas@company.com,PTO Request,7,0
stephanie.manning@company.com,Comp Inquiry,2,0
stephanie.manning@company.com,IT Access,5,0
stephanie.manning@company.com,Comp Inquiry,1,0
stephanie.manning@company.com,Manager Escalation,2,0
stephanie.manning@company.com,PTO Request,0,0
david.wright@company.com,PTO Request,4,0
david.wright@company.com,IT Access,6,1
david.wright@company.com,Manager Escalation,2,1
pamela.boyd@company.com,PTO Request,1,0
pamela.boyd@company.com,PTO Request,5,0
pamela.boyd@company.com,Manager Escalation,0,0
denise.jones@company.com,Payroll,0,0
denise.jones@company.com,IT Access,7,0
denise.jones@company.com,Comp Inquiry,2,1
denise.jones@company.com,Manager Escalation,0,1
denise.jones@company.com,PTO Request,2,0
devon.flores@company.com,IT Access,0,0
brenda.hall@company.com,Manager Escalation,1,0
brenda.hall@company.com,Policy Question,0,1
brenda.hall@company.com,Manager Escalation,1,0
brenda.hall@company.com,PTO Request,2,0
brenda.hall@company.com,Payroll,2,0
brenda.hall@company.com,PTO Request,0,0
brenda.hall@company.com,IT Access,0,0
brenda.hall@company.com,Manager Escalation,1,0
michelle.brown@company.com,Manager Escalation,1,0
michelle.brown@company.com,Manager Escalation,1,0
joshua.perry@company.com,PTO Request,0,0
joshua.perry@company.com,Policy Question,1,1
joshua.perry@company.com,Manager Escalation,0,0
joshua.perry@company.com,Payroll,5,1
jason.stein@company.com,Policy Question,0,0
melissa.gates@company.com,IT Access,3,0
jamie.smith@company.com,IT Access,2,1
jamie.smith@company.com,IT Access,0,0
jamie.smith@company.com,Comp Inquiry,1,0
paul.castaneda@company.com,Comp Inquiry,6,0
paul.castaneda@company.com,Policy Question,4,0
paul.castaneda@company.com,Policy Question,2,0
paul.castaneda@company.com,Payroll,3,0
paul.castaneda@company.com,Policy Question,1,0
lindsey.walker@company.com,Comp Inquiry,5,0
lindsey.walker@company.com,Manager Escalation,3,0
jeffrey.johnson@company.com,Benefits,1,0
jeffrey.johnson@company.com,IT Access,3,0
jeffrey.johnson@company.com,IT Access,1,0
jeffrey.johnson@company.com,Payroll,1,0
jeffrey.johnson@company.com,Manager Escalation,2,0
jeffrey.johnson@company.com,Policy Question,1,0
jeffrey.johnson@company.com,PTO Request,2,0
jeffrey.johnson@company.com,Manager Escalation,2,0
jeffrey.johnson@company.com,IT Access,2,0
jeffrey.johnson@company.com,Payroll,0,0
michael.powell@company.com,Policy Question,0,1
michael.powell@company.com,Policy Question,0,0
michael.powell@company.com,Policy Question,0,0
john.anderson@company.com,PTO Request,2,0
john.anderson@company.com,Payroll,0,0
john.anderson@company.com,PTO Request,1,0
john.anderson@company.com,PTO Request,2,0
alyssa.long@company.com,Manager Escalation,0,0
alyssa.long@company.com,PTO Request,3,0
alyssa.long@company.com,Policy Question,2,0
alyssa.long@company.com,IT Access,2,1
alyssa.long@company.com,Manager Escalation,2,0
alyssa.day@company.com,Payroll,3,1
