CandidateID,CandidateName,Department,HireDate,HireSource,RoleHiredFor,TimeToHireDays
9038,Cassandra Gaines,Sales,2023-02-16,Career Site,Account Executive,33
9039,Elizabeth Fowler,Finance,2025-04-01,Career Site,Accountant,53
9040,Brittany Farmer,Sales,2023-10-28,Indeed,Sales Coordinator,38
9041,Paula M. Moreno,News & Content,2022-10-07,Indeed,Producer,28
9042,Fred Smith,News & Content,2024-03-03,Employee Referral,Photojournalist,33
9043,Sherry Decker,News & Content,2020-08-09,Employee Referral,Producer,15
9044,Anthony Humphrey,News & Content,2021-06-28,Indeed,Editor,47
9045,Angelica Tucker,Engineering,2023-05-29,Recruiter Sourced,IT Support,27
9046,Philip Cannon,News & Content,2019-02-16,Career Site,Photojournalist,14
9047,John Pierce,News & Content,2026-01-01,Employee Referral,News Director,31
9048,Shane Henderson,News & Content,2020-03-24,Employee Referral,Photojournalist,28
9049,Joshua B. Blair,Sales,2022-06-28,University Recruiting,Account Executive,40
9050,Eric Carney,News & Content,2025-09-04,Recruiter Sourced,Reporter,49
9051,Jessica Holmes,Engineering,2019-03-14,Recruiter Sourced,IT Support,51
9052,Danny Morgan,Finance,2024-12-19,Recruiter Sourced,Finance Manager,36
9053,Crystal Robinson,News & Content,2019-01-17,LinkedIn,Reporter,30
9054,Mark Perez,Engineering,2023-01-09,LinkedIn,Systems Engineer,29
9055,Shannon Jones,Sales,2026-01-24,Recruiter Sourced,Sales Manager,7
9056,Michael Lewis,News & Content,2021-11-20,Employee Referral,Producer,38
9057,Timothy Duncan,Sales,2021-07-06,Employee Referral,Sales Coordinator,39
9058,Richard Aguirre,Human Resources,2024-03-24,LinkedIn,HR Manager,31
9059,Brent J. Jordan,News & Content,2025-02-23,Indeed,Editor,21
9060,John Daniel,Human Resources,2020-09-07,University Recruiting,HR Generalist,52
9061,Victoria G. Garcia,Finance,2018-11-19,University Recruiting,Accountant,33
9062,Gerald H. Hensley,News & Content,2019-02-14,LinkedIn,Editor,12
9063,Connor West,Sales,2020-12-28,LinkedIn,Sales Coordinator,35
9064,Donald Wright,News & Content,2026-02-12,Indeed,Photojournalist,28
9065,Jessica Callahan,Human Resources,2026-03-30,Employee Referral,HR Manager,40
9066,Amber Kidd,Sales,2019-05-03,Employee Referral,Sales Manager,30
9067,Tracy House,News & Content,2024-05-11,Employee Referral,Reporter,38
9068,Carol Tucker,Human Resources,2022-10-24,Employee Referral,HR Generalist,33
9069,James Brown,News & Content,2020-01-28,Career Site,News Director,23
9070,William Baker,News & Content,2022-10-08,Career Site,Reporter,44
9071,Jordan Henderson,Engineering,2020-07-19,LinkedIn,IT Support,52
9072,Whitney Peters,Finance,2023-07-25,Indeed,Financial Analyst,52
9073,Brittney Phillips,News & Content,2019-12-28,Employee Referral,Photojournalist,27
9074,Lauren Daniels,News & Content,2024-07-21,Employee Referral,Photojournalist,46
9075,Amy Silva,Finance,2021-11-18,Employee Referral,Financial Analyst,56
9076,Sarah Moore,Sales,2019-05-28,Employee Referral,Sales Manager,45
9077,Angela Lopez,Finance,2023-09-02,Indeed,Finance Manager,42
9078,Megan Young,News & Content,2021-06-03,Employee Referral,News Director,18
9079,Steve Sanchez,Finance,2022-03-25,Career Site,Finance Manager,42
9080,Lisa B. Barnes,News & Content,2023-11-18,Employee Referral,Photojournalist,31
9081,Kelly D. Donovan,Sales,2025-08-15,LinkedIn,Account Executive,29
9082,Mike A. Allen,News & Content,2019-11-23,Career Site,Reporter,41
9083,Michael Evans,News & Content,2020-01-02,Recruiter Sourced,Editor,51
9084,Paul Jones,Engineering,2021-10-09,Employee Referral,Broadcast Engineer,67
9085,Zachary Ferrell,News & Content,2021-04-05,Employee Referral,Photojournalist,15
9086,Daniel Baker,Engineering,2019-10-29,LinkedIn,IT Support,49
9087,Shirley Suarez,Engineering,2026-07-19,Career Site,Broadcast Engineer,42
9088,Christopher Bass,News & Content,2022-02-07,Employee Referral,Reporter,49
9089,Lisa Archer,Sales,2021-05-18,Employee Referral,Sales Manager,36
9090,Aimee Montoya,Sales,2021-01-29,Employee Referral,Account Executive,45
9091,Matthew Mcmillan,Engineering,2026-06-29,Employee Referral,Broadcast Engineer,36
9092,Brian Rodriguez,News & Content,2021-02-26,Career Site,Reporter,18
9093,Denise Jacobs,Engineering,2021-07-14,Career Site,Broadcast Engineer,43
9094,Christina Walters,News & Content,2024-09-02,Employee Referral,Producer,21
9095,John Whitehead,Finance,2022-01-02,LinkedIn,Accountant,44
9096,Anna Henderson,Human Resources,2024-05-13,Recruiter Sourced,HR Manager,50
9097,Aaron W. Wise,Engineering,2023-06-05,Career Site,Systems Engineer,22
9098,Deborah Figueroa,Sales,2023-01-24,LinkedIn,Sales Manager,35
9099,Jessica Smith,Sales,2020-04-09,Employee Referral,Sales Coordinator,45
9100,Stephen M. Mckee,News & Content,2024-09-07,Indeed,Photojournalist,30
9101,Sandra Aguilar,Engineering,2025-12-20,Recruiter Sourced,Broadcast Engineer,69
9102,Cameron Parker,Human Resources,2020-08-04,Indeed,HR Generalist,35
9103,Rebecca Valencia,News & Content,2026-04-02,Employee Referral,Producer,21
9104,Christine Wright,Engineering,2022-02-20,Employee Referral,Systems Engineer,46
9105,Richard Henson,Sales,2021-09-26,Career Site,Account Executive,32
9106,Marc Moore,Sales,2024-05-15,University Recruiting,Account Executive,43
9107,Sharon Cherry,Finance,2026-06-04,University Recruiting,Accountant,28
9108,Sierra Johnson,Sales,2023-04-29,LinkedIn,Sales Coordinator,44
9109,Evelyn Galvan,Engineering,2022-09-13,Recruiter Sourced,Broadcast Engineer,21
9110,Sharon Cochran,Engineering,2026-07-04,Indeed,Broadcast Engineer,27
9111,Richard Rodriguez,Engineering,2020-12-21,University Recruiting,Broadcast Engineer,42
9112,Shannon Walker,Sales,2020-12-17,Employee Referral,Sales Coordinator,56
9113,Julia Torres,Sales,2020-05-02,Indeed,Account Executive,47
9114,Crystal Johnson,Sales,2025-05-28,Career Site,Account Executive,34
9115,Garrett Lin,Human Resources,2018-09-25,Career Site,HR Generalist,21
9116,Diana May,Sales,2025-02-18,LinkedIn,Account Executive,51
9117,William Herrera,Sales,2024-01-29,Recruiter Sourced,Account Executive,37
9118,Ashley Waller,News & Content,2020-10-07,Recruiter Sourced,Photojournalist,37
9119,Victor Baker,News & Content,2022-12-27,Indeed,Photojournalist,52
9120,Jeffrey Chandler,News & Content,2023-01-04,Career Site,News Director,34
9121,Larry Dixon,Sales,2025-12-19,Career Site,Sales Manager,37
9122,Kenneth Scott,Human Resources,2019-10-19,LinkedIn,HR Generalist,36
9123,April Frost,News & Content,2018-11-11,LinkedIn,News Director,36
9124,Michelle Harmon,Finance,2021-05-28,Employee Referral,Financial Analyst,22
9125,Helen Jones,News & Content,2019-09-01,LinkedIn,Producer,10
9126,Erin E. Edwards,News & Content,2021-06-30,Indeed,News Director,38
9127,Michelle Evans,Finance,2023-03-21,Employee Referral,Accountant,22
9128,Jason Powell,Sales,2020-06-03,Indeed,Sales Manager,29
9129,Cameron Fisher,News & Content,2025-01-17,Career Site,Producer,41
9130,Megan Orr,Sales,2019-04-18,Employee Referral,Sales Manager,17
9131,Elizabeth Kelley,News & Content,2021-10-04,Employee Referral,Photojournalist,65
9132,Dustin Jordan,News & Content,2025-11-26,Indeed,News Director,57
9133,Mary Marshall,Sales,2024-06-07,Career Site,Account Executive,34
9134,Daniel Kennedy,Engineering,2024-05-07,LinkedIn,Broadcast Engineer,39
9135,Rebecca Jackson,Human Resources,2024-11-25,Recruiter Sourced,HR Manager,28
9136,Jose Schultz,News & Content,2019-12-11,Employee Referral,Producer,12
9137,Robert Potter,Sales,2025-03-01,Employee Referral,Sales Manager,23
9138,Courtney Gonzalez,Sales,2024-01-28,Employee Referral,Sales Coordinator,55
9139,David Alvarez,News & Content,2023-03-03,Employee Referral,Producer,38
9140,Angel Perry,News & Content,2025-10-27,Career Site,Photojournalist,13
9141,Cheyenne Horton,News & Content,2023-04-28,Career Site,Editor,38
9142,David Douglas Jr.,News & Content,2020-12-17,Indeed,Photojournalist,55
9143,Patricia Rodriguez,Sales,2024-05-28,LinkedIn,Sales Manager,24
9144,Christopher Rubio,News & Content,2023-03-03,Career Site,Photojournalist,17
9145,Amber Wright,Human Resources,2019-03-10,Employee Referral,HR Manager,30
9146,Joyce Solis,News & Content,2019-01-03,Employee Referral,Photojournalist,58
9147,Victoria Larson,News & Content,2024-09-22,Indeed,News Director,17
9148,Stephanie Salazar,News & Content,2021-05-05,LinkedIn,Photojournalist,32
9149,Kathy Rivas,Finance,2025-02-04,LinkedIn,Finance Manager,54
9150,Stephanie Manning,Sales,2021-11-22,Employee Referral,Sales Coordinator,51
9151,David Wright,News & Content,2025-07-02,LinkedIn,Reporter,34
9152,Pamela Boyd,Finance,2025-07-08,Recruiter Sourced,Accountant,64
9153,Denise J. Jones,News & Content,2020-05-16,Career Site,Producer,31
9154,Devon Flores,Sales,2023-10-13,Indeed,Sales Manager,34
9155,Brenda Hall,Finance,2023-05-18,University Recruiting,Finance Manager,9
9156,Michelle Brown,News & Content,2018-08-26,Career Site,Reporter,50
9157,Joshua Perry,News & Content,2024-10-11,LinkedIn,Editor,42
9158,Jason Stein,Engineering,2021-08-14,LinkedIn,IT Support,34
9159,Melissa Gates,News & Content,2020-12-30,University Recruiting,Editor,27
9160,Jamie Smith,Sales,2018-11-21,LinkedIn,Account Executive,36
9161,Paul Castaneda,Finance,2022-11-17,Recruiter Sourced,Financial Analyst,25
9162,Jennifer Adkins,Human Resources,2019-10-04,Career Site,HR Generalist,29
9163,Lindsey Walker,Sales,2022-07-31,Indeed,Sales Coordinator,38
9164,Jeffrey Johnson,Engineering,2020-04-29,Recruiter Sourced,IT Support,41
9165,Michael Powell,News & Content,2018-12-18,LinkedIn,Editor,41
9166,John Anderson,Engineering,2024-05-30,Recruiter Sourced,IT Support,24
9167,Alyssa Long,News & Content,2021-09-14,University Recruiting,Editor,10
9168,Alyssa Day,News & Content,2022-02-15,Career Site,Editor,18
9169,Joel Williams,Engineering,2023-04-27,LinkedIn,Broadcast Engineer,54
9170,Daniel Murphy,Engineering,2022-08-06,Career Site,IT Support,28
9171,Jamie Walton,Sales,2020-05-02,Employee Referral,Sales Coordinator,34
9172,Darlene Miller,News & Content,2020-11-16,Recruiter Sourced,Reporter,46
9173,Joshua Cooke,Human Resources,2021-09-18,LinkedIn,HR Generalist,30
9174,Matthew Harrington,Sales,2019-08-14,Employee Referral,Sales Manager,45
9175,Nicole Herring,Human Resources,2019-03-22,Recruiter Sourced,HR Generalist,30
9176,Alex Hernandez,Human Resources,2023-02-17,University Recruiting,HR Generalist,26
9177,Michael Elliott,News & Content,2018-12-15,University Recruiting,Producer,58
9178,Michael Wang,Engineering,2021-10-02,LinkedIn,IT Support,47
9179,Lawrence Adkins,News & Content,2019-03-29,LinkedIn,Reporter,49
9180,Robert Oconnell,News & Content,2022-07-29,Career Site,Photojournalist,18
9181,Alexander Collins,News & Content,2024-10-01,Recruiter Sourced,Reporter,24
9182,Tina Sanders,Sales,2019-08-08,Indeed,Account Executive,33
9183,Angela Vaughn,Sales,2019-08-22,LinkedIn,Sales Coordinator,29
9184,Ashley Barton,News & Content,2023-01-13,Employee Referral,Photojournalist,44
9185,Lindsay Martinez,Sales,2022-06-18,Employee Referral,Sales Manager,41
9186,Dr. Hannah Patterson,News & Content,2023-10-11,Employee Referral,Editor,51
9187,Jonathan Peterson,Engineering,2020-02-17,Employee Referral,IT Support,28
9188,Samantha Garcia,Human Resources,2023-06-27,Recruiter Sourced,HR Manager,36
9189,Madison Poole,Finance,2024-06-11,Career Site,Finance Manager,49
9190,Jessica Gross,News & Content,2020-07-12,University Recruiting,News Director,27
9191,Debra Morton,Sales,2019-02-18,University Recruiting,Sales Coordinator,25
9192,Karen Graham,Sales,2024-10-09,Employee Referral,Sales Coordinator,51
9193,Debra Christian,News & Content,2021-02-23,Career Site,Reporter,7
9194,Angelica Keith,News & Content,2025-12-14,Recruiter Sourced,Reporter,54
9195,John Bishop,Sales,2019-04-11,Employee Referral,Sales Manager,30
9196,Allen Rosales,Finance,2023-12-07,LinkedIn,Finance Manager,33
9197,Daniel Salinas,Finance,2021-12-12,Employee Referral,Finance Manager,50
9198,Spencer Haynes,Sales,2021-05-06,Indeed,Sales Manager,44
9199,Adam Vaughan,Human Resources,2021-02-15,University Recruiting,HR Generalist,15
9200,Nathan Freeman,Sales,2023-04-24,Recruiter Sourced,Sales Manager,23
9201,Melissa Brewer,Human Resources,2018-10-02,Employee Referral,HR Manager,34
9202,Ricky Davis II,Sales,2020-12-30,University Recruiting,Account Executive,46
9203,Elizabeth Perkins,News & Content,2026-06-17,Employee Referral,Editor,40
9204,Joseph Coleman,Finance,2023-06-28,Indeed,Accountant,34
9205,Erin Warner,Sales,2026-06-25,Indeed,Account Executive,28
9206,David Martinez,Engineering,2022-02-05,Indeed,IT Support,58
9207,Bryan Herrera,Sales,2019-09-23,Indeed,Sales Manager,32
9208,Cathy Robinson,Engineering,2018-12-02,Indeed,Broadcast Engineer,46
9209,Dr. William Warren,News & Content,2025-02-07,LinkedIn,Editor,31
9210,Brian Lee,Finance,2020-02-27,LinkedIn,Financial Analyst,16
9211,Christopher Smith,Engineering,2021-07-20,Indeed,Broadcast Engineer,9
9212,Denise Mccann,Sales,2024-08-15,Recruiter Sourced,Account Executive,38
9213,Melissa Martinez,News & Content,2025-05-19,Career Site,Photojournalist,43
9214,Katherine Salas,News & Content,2019-06-17,LinkedIn,Photojournalist,53
9215,Julie Alexander,News & Content,2018-12-30,University Recruiting,News Director,33
9216,Anthony Everett,Engineering,2026-02-24,Recruiter Sourced,IT Support,30
9217,Rodney Morales,Sales,2025-12-21,University Recruiting,Sales Manager,37
9218,Mark Brown,News & Content,2025-07-05,LinkedIn,Producer,19
9219,Justin Torres,Finance,2025-02-13,University Recruiting,Accountant,37
9220,Bailey Duran DDS,Human Resources,2018-09-02,LinkedIn,HR Generalist,37
9221,Courtney Mills,Sales,2024-02-10,LinkedIn,Sales Manager,32
9222,Jeremy D. Dalton,Finance,2019-06-14,Recruiter Sourced,Financial Analyst,33
9223,Elizabeth Oliver DDS,Engineering,2022-02-28,Recruiter Sourced,IT Support,53
9224,Theresa Clark,News & Content,2018-09-28,University Recruiting,Editor,38
9225,Matthew Moore,Engineering,2020-03-25,Recruiter Sourced,IT Support,29
9226,Benjamin Smith,News & Content,2022-11-12,Employee Referral,Photojournalist,13
9227,Kirk Carter,Finance,2020-03-10,University Recruiting,Accountant,16
9228,Michael Warner,News & Content,2022-09-29,Career Site,Reporter,40
9229,Mike Bradshaw,Sales,2020-08-17,Indeed,Sales Coordinator,23
9230,Lori Guerrero,Engineering,2022-06-04,Career Site,Broadcast Engineer,30
9231,Jessica Stephens,News & Content,2024-05-25,Indeed,Photojournalist,35
9232,Susan Serrano,Sales,2019-09-10,Recruiter Sourced,Sales Coordinator,54
9233,Christopher Parker,Human Resources,2024-02-24,Indeed,HR Generalist,47
9234,Laura R. Roberts,Sales,2018-09-15,LinkedIn,Sales Coordinator,36
9235,Michael Lyons,Sales,2023-03-23,Employee Referral,Sales Manager,53
9236,Kathryn Snyder,Engineering,2023-11-13,Employee Referral,Systems Engineer,45
9237,Andrew Reynolds,Sales,2018-11-28,Employee Referral,Sales Coordinator,11
9238,David Davis,News & Content,2019-12-03,LinkedIn,Producer,52
9239,Sara Johnston,Finance,2020-10-30,Recruiter Sourced,Financial Analyst,36
9240,Yvonne Chambers,News & Content,2024-11-15,Career Site,Photojournalist,7
9241,Andrew Avila,News & Content,2023-07-03,LinkedIn,Producer,46
9242,Matthew Moon,News & Content,2018-12-26,University Recruiting,News Director,38
9243,Kevin Walters,News & Content,2023-10-19,Employee Referral,Producer,33
9244,Brandon Bailey MD,News & Content,2018-08-17,Employee Referral,Photojournalist,44
9245,Shannon Rivera,News & Content,2021-09-01,LinkedIn,Producer,33
9246,Donna Landry,News & Content,2020-09-23,LinkedIn,Reporter,39
9247,Krista Gibson,News & Content,2025-05-17,Indeed,Photojournalist,32
9248,Frank Cordova,News & Content,2023-11-03,Employee Referral,News Director,33
9249,Jose Travis,Sales,2025-06-22,Employee Referral,Account Executive,19
9250,Kimberly Gutierrez,News & Content,2018-09-17,LinkedIn,Photojournalist,40
9251,Isaiah Avila,Sales,2025-07-01,Recruiter Sourced,Sales Manager,60
9252,Olivia Harris,News & Content,2023-10-03,Employee Referral,Photojournalist,29
9253,Tanya Kim,News & Content,2020-05-29,Employee Referral,Photojournalist,23
9254,Barbara Dudley,News & Content,2021-08-09,Employee Referral,Editor,26
9255,Cynthia M. Moore,Sales,2026-05-16,Employee Referral,Sales Coordinator,15
9256,Kristen Davis,Sales,2019-05-11,LinkedIn,Sales Coordinator,31
9257,Susan Murray MD,News & Content,2021-01-30,Indeed,Editor,32
9258,Kathleen Moran,News & Content,2025-06-29,Recruiter Sourced,Reporter,34
9259,Denise Davenport,News & Content,2022-10-24,Indeed,News Director,45
9260,Mrs. Kristen Reyes,News & Content,2020-01-19,Career Site,Reporter,25
9261,Katie Suarez,News & Content,2022-07-25,Employee Referral,Producer,26
9262,Desiree Tyler,News & Content,2022-03-23,LinkedIn,Photojournalist,18
9263,Timothy Romero,Sales,2025-12-20,Indeed,Sales Manager,25
9264,Diane E. Evans,News & Content,2018-09-24,Career Site,Photojournalist,7
9265,Yvonne Burns,Engineering,2020-07-15,Employee Referral,IT Support,45
9266,Joshua Reed,Finance,2022-10-17,Recruiter Sourced,Accountant,21
9267,Kimberly Gibson,News & Content,2021-03-24,Indeed,Photojournalist,21
9268,Colin Terry,Engineering,2021-09-15,LinkedIn,Systems Engineer,35
9269,Cynthia Rowe,Sales,2019-10-25,Indeed,Account Executive,23
9270,Patrick Thornton,Sales,2021-05-02,LinkedIn,Account Executive,22
9271,Jasmin Alvarado,News & Content,2021-05-17,Employee Referral,Reporter,20
9272,Veronica S. Simpson,Sales,2023-07-24,LinkedIn,Sales Coordinator,25
9273,Jonathan Lawrence,News & Content,2020-06-13,Employee Referral,Photojournalist,36
9274,Shelly Alexander,Sales,2026-05-21,Career Site,Sales Coordinator,45
9275,Joyce Bowen,News & Content,2022-07-27,Career Site,Producer,22
9276,Matthew Moore,Sales,2025-01-20,Indeed,Sales Coordinator,33
9277,Wayne Morgan,News & Content,2023-07-26,Indeed,Producer,28
9278,Marie Christian,Sales,2025-08-03,Employee Referral,Account Executive,54
9279,Shannon James,News & Content,2025-09-06,LinkedIn,Reporter,52
9280,Nathan Malone,News & Content,2025-01-29,Indeed,Producer,16
9281,Amanda Jones,Finance,2018-10-18,LinkedIn,Accountant,34
9282,Tammie Bright,News & Content,2022-12-31,Employee Referral,Editor,35
9283,Jessica Garcia,News & Content,2020-10-19,Employee Referral,Photojournalist,28
9284,Shelia Wallace,News & Content,2019-10-10,Employee Referral,News Director,25
9285,Stephanie Williams,Engineering,2025-09-26,Employee Referral,Systems Engineer,23
9286,Elaine Brooks,News & Content,2023-10-25,Recruiter Sourced,Photojournalist,26
9287,Joseph Knight,Finance,2019-04-06,Employee Referral,Accountant,7
9288,Carolyn Miller,News & Content,2021-08-13,University Recruiting,Producer,42
9289,Lisa A. Allen,Sales,2026-03-30,Employee Referral,Sales Manager,39
9290,Briana Murray,News & Content,2023-06-17,Recruiter Sourced,Photojournalist,32
9291,David Smith,News & Content,2023-07-25,Recruiter Sourced,Reporter,24
9292,Stephanie Byrd,Engineering,2020-05-18,Career Site,IT Support,27
9293,Jeremy Reed,Sales,2020-06-25,University Recruiting,Sales Coordinator,60
9294,Margaret Coleman,News & Content,2019-10-13,LinkedIn,Producer,55
9295,Ryan G. Gonzalez,Engineering,2026-04-28,Career Site,Systems Engineer,26
9296,John Young,News & Content,2025-11-02,LinkedIn,Photojournalist,20
9297,Laura H. Haney,Sales,2021-03-12,Indeed,Account Executive,28
9298,William Barrett,News & Content,2022-11-24,Indeed,Editor,30
9299,Keith Jennings,News & Content,2020-03-19,LinkedIn,Reporter,19
9300,Amber Obrien,Engineering,2019-09-01,LinkedIn,Broadcast Engineer,37
9301,Tanner Mitchell DDS,Sales,2022-11-21,Indeed,Sales Coordinator,32
9302,Heather Fields,Finance,2024-12-16,Employee Referral,Finance Manager,28
9303,Megan Le,News & Content,2025-06-17,Employee Referral,News Director,26
9304,Sara Fuller,Sales,2021-01-11,Career Site,Account Executive,43
9305,Maria Parker,News & Content,2024-03-14,Career Site,News Director,24
9306,Kevin Oconnor,Finance,2022-10-01,LinkedIn,Financial Analyst,65
9307,Edward Burgess,Sales,2019-08-23,LinkedIn,Sales Manager,36
9308,Carlos Ryan,News & Content,2026-07-11,Employee Referral,News Director,35
9309,Kiara Mcintyre,News & Content,2026-05-14,Employee Referral,Editor,40
9310,Dawn Summers,Engineering,2019-09-21,Recruiter Sourced,IT Support,54
9311,Dr. Paul Morgan,News & Content,2026-01-09,Employee Referral,Reporter,26
9312,Victor T. Taylor,News & Content,2025-11-23,Employee Referral,News Director,41
9313,Shannon Ramsey,Engineering,2021-02-05,Employee Referral,IT Support,41
9314,Tracy Ballard,Sales,2023-01-07,Indeed,Sales Manager,47
9315,Richard Smith,Human Resources,2026-02-23,LinkedIn,HR Manager,30
9316,Jordan Chambers,News & Content,2019-07-04,Recruiter Sourced,Reporter,46
9317,Lauren Carson,Finance,2021-02-06,LinkedIn,Accountant,25
9318,Ashley H. Hall,Sales,2025-08-06,LinkedIn,Sales Manager,7
9319,Stephen H. Hoffman,Sales,2024-05-17,Career Site,Sales Coordinator,13
9320,Connie Brown,Sales,2024-09-06,Recruiter Sourced,Sales Coordinator,34
9321,Susan Turner,News & Content,2025-08-07,LinkedIn,Reporter,45
9322,Charles Shah,News & Content,2021-11-14,Indeed,Producer,35
9323,Johnathan Davis,Sales,2021-11-06,Employee Referral,Sales Manager,36
9324,Brandy C. Chavez,Sales,2022-02-07,LinkedIn,Sales Coordinator,41
9325,Natalie Bautista,Sales,2026-01-11,Employee Referral,Account Executive,40
9326,Patrick Moore,News & Content,2025-09-17,Indeed,Photojournalist,50
9327,Brett Burns,Sales,2026-01-09,Recruiter Sourced,Sales Manager,27
9328,Trevor Johnson,Sales,2020-10-01,LinkedIn,Account Executive,39
9329,Jeremy S. Sampson,News & Content,2024-10-16,Employee Referral,Producer,53
9330,Ariana Jennings,Sales,2019-05-31,Recruiter Sourced,Sales Coordinator,39
9331,Vanessa Howard,News & Content,2020-01-14,LinkedIn,Photojournalist,50
9332,Colton Martinez,Engineering,2024-08-28,Employee Referral,Broadcast Engineer,28
9333,Jordan Bates,Finance,2023-06-16,Employee Referral,Finance Manager,46
9334,Linda Smith,Sales,2020-09-10,Career Site,Sales Coordinator,46
9335,Dana Martinez,Sales,2023-02-04,Career Site,Account Executive,12
9336,Andrea Hubbard,Finance,2020-05-28,LinkedIn,Finance Manager,37
9337,Daniel Kane,News & Content,2020-06-01,Employee Referral,Photojournalist,36
9338,Charles Lester,News & Content,2024-01-22,LinkedIn,Producer,44
9339,Scott Thomas,Finance,2021-06-07,LinkedIn,Finance Manager,36
9340,David Thompson,Sales,2024-01-24,Indeed,Sales Coordinator,68
9341,Allison Smith,Sales,2022-05-16,Employee Referral,Account Executive,57
9342,Cynthia Morris,News & Content,2022-07-30,University Recruiting,Reporter,41
9343,Anthony Harmon,News & Content,2023-05-25,Career Site,Editor,37
9344,Nichole Alvarez,News & Content,2024-04-03,Indeed,Photojournalist,19
9345,Kayla Rodriguez,Sales,2021-07-20,LinkedIn,Sales Manager,36
9346,Theresa Williams,Sales,2025-05-17,University Recruiting,Account Executive,35
9347,Sharon Boyd,Sales,2022-06-29,LinkedIn,Sales Coordinator,67
9348,Victor Brown,News & Content,2019-08-29,LinkedIn,Producer,40
9349,James Parks,News & Content,2020-02-08,Employee Referral,Photojournalist,47
9350,Theodore Jones Jr.,Engineering,2018-10-26,Employee Referral,IT Support,26
9351,Ana Hill,Engineering,2024-09-03,LinkedIn,Broadcast Engineer,45
9352,Kimberly Nguyen,News & Content,2018-09-05,Recruiter Sourced,Producer,7
9353,Kerry Chavez DDS,Engineering,2020-09-19,LinkedIn,IT Support,50
9354,Michael Farrell,Engineering,2021-11-11,LinkedIn,Broadcast Engineer,23
9355,Patricia Le,News & Content,2024-07-01,Employee Referral,Reporter,19
9356,Jesse Perez,Sales,2026-06-19,Employee Referral,Account Executive,32
9357,Jesse Perry,Engineering,2024-08-15,Indeed,IT Support,44
9358,Jeffery Ortega,Sales,2019-02-02,LinkedIn,Sales Coordinator,31
9359,Christian Leblanc,Sales,2025-12-22,Indeed,Sales Coordinator,20
9360,Ronald Davis,Engineering,2026-06-12,University Recruiting,Broadcast Engineer,40
9361,Parker Cain,News & Content,2025-06-30,Employee Referral,News Director,23
9362,Laurie Hoffman,Sales,2022-06-24,University Recruiting,Account Executive,31
9363,Bryan Gomez,Engineering,2021-02-27,Indeed,Systems Engineer,25
